Species,Tissue,Source,Result,Binary
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,MUSCLE,PME,POSITIVE,1
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,POSITIVE,1
COW,MUSCLE,PME,NEGATIVE,0
COW,MUSCLE,PME,POSITIVE,1
COW,MUSCLE,PME,NEGATIVE,0
COW,MUSCLE,PME,NEGATIVE,0
COW,MUSCLE,PME,NEGATIVE,0
COW,LIVER,PME,POSITIVE,1
COW,MUSCLE,PME,NEGATIVE,0
COW,MUSCLE,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,POSITIVE,1
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
COW,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,MUSCLE,PME,NEGATIVE,0
SHEEP,MUSCLE,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,MUSCLE,PME,POSITIVE,1
SHEEP,MUSCLE,PME,POSITIVE,1
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,MUSCLE,PME,POSITIVE,1
SHEEP,MUSCLE,PME,NEGATIVE,0
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,POSITIVE,1
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,LIVER,PME,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
